"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","3","0.0-0.0","xehvhau8u5uyx9a","","","","","","","","",""
"fullscreen","1","2199","0.0-1.0","xehvhau8u5uyx9a","true","","","","","","","",""
"html-button-response","2","2869","0.0-2.0","xehvhau8u5uyx9a","","669","Let's start!","0","","","","",""
"audio-keyboard-response","3","4624","0.0-3.0","xehvhau8u5uyx9a","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","4802","0.0-4.0","xehvhau8u5uyx9a","","178","","0","","","","",""
"audio-keyboard-response","5","6506","0.0-5.0","xehvhau8u5uyx9a","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","8221","0.0-6.0","xehvhau8u5uyx9a","","1715","","0","","","","",""
"audio-keyboard-response","7","10222","0.0-7.0","xehvhau8u5uyx9a","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","13225","0.0-8.0","xehvhau8u5uyx9a","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","30186","0.0-9.0","xehvhau8u5uyx9a","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","10","32049","0.0-10.0","xehvhau8u5uyx9a","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","11","32158","0.0-11.0","xehvhau8u5uyx9a","","107.99999999999272","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""600px""/>","<img src=""img/1.png"" width=""600px""/>"
"audio-keyboard-response","12","34020","0.0-12.0","xehvhau8u5uyx9a","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","13","34206","0.0-13.0","xehvhau8u5uyx9a","","187","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""600px""/>","<img src=""img/1.png"" width=""600px""/>"
"audio-keyboard-response","14","36070","0.0-14.0","xehvhau8u5uyx9a","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","15","36209","0.0-15.0","xehvhau8u5uyx9a","","138","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""600px""/>","<img src=""img/1.png"" width=""600px""/>"
"audio-keyboard-response","16","38073","0.0-16.0","xehvhau8u5uyx9a","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","17","38210","0.0-17.0","xehvhau8u5uyx9a","","137","","0","","sc-label-first","1-1","<img src=""img/1.png"" width=""600px""/>","<img src=""img/5.png"" width=""600px""/>"
"audio-keyboard-response","18","40212","0.0-18.0","xehvhau8u5uyx9a","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","43214","0.0-19.0","xehvhau8u5uyx9a","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","20","59884","0.0-20.0","xehvhau8u5uyx9a","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","21","61746","0.0-21.0","xehvhau8u5uyx9a","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","22","61812","0.0-22.0","xehvhau8u5uyx9a","","65","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""600px""/>","<img src=""img/15.png"" width=""600px""/>"
"audio-keyboard-response","23","63678","0.0-23.0","xehvhau8u5uyx9a","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","24","63913","0.0-24.0","xehvhau8u5uyx9a","","233","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""600px""/>","<img src=""img/9.png"" width=""600px""/>"
"audio-keyboard-response","25","65779","0.0-25.0","xehvhau8u5uyx9a","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","26","66048","0.0-26.0","xehvhau8u5uyx9a","","268","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""600px""/>","<img src=""img/9.png"" width=""600px""/>"
"audio-keyboard-response","27","67912","0.0-27.0","xehvhau8u5uyx9a","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","28","68633","0.0-28.0","xehvhau8u5uyx9a","","718","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""600px""/>","<img src=""img/15.png"" width=""600px""/>"
"audio-keyboard-response","29","70636","0.0-29.0","xehvhau8u5uyx9a","","null","audio/goodjob.wav","","null","","","",""
"image-keyboard-response","30","73649","0.0-30.0","xehvhau8u5uyx9a","","null","img/welldone.jpg","","null","","","",""
